,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
1,2585000,2585000,2,1,3,OLIVAR DE LOS PADRES,DEPARTAMENTO OLIVAR DE LOS PADRES EXCELENTE PRECIO PARA INVERSION,LOS PADRES,19.3198377904,19.3198377904
4,850000,850000,2,1,1,MIXCOATL,VENDO DEPARTAMENTO  EN PLANTA BAJA A 10 MINUTOS DE METRO CONSTITUCION DE 1917,MIXCOATL,19.3250111235,19.3250111235
9,3447369,3447369,2,2,1,MIXCOAC,"DEPARTAMENTO EN VENTA EN PUNTO MIXCOAC, BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
10,3500000,3500000,2,1,0,NAPOLES,DEPARTAMENTO EN VENTA CON 2 RECAMARAS EN LA COLONIA NAPOLES ODD 0230,NAPOLES,19.3936944672,19.3936944672
15,20000000,20000000,3,3,4+,FLORIDA,ESPECTACULAR CASA EN COLONIA FLORIDA,FLORIDA,19.3570724615,19.3570724615
16,4700000,4700000,2,2,1,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
17,4519278,4519278,2,2,2,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
20,960000,960000,3,2,2,JUAREZ,"CASAS EN VENTA DESDE $960,000 A 40 MIN DE POTRERO",JUAREZ,19.4270038256,19.4270038256
21,14000000,14000000,4,3,3,COL DEL VALLE SUR,"DIVINA CASA EN CONDOMINIO EN MORAS, DEL VALLE SUR BENITO JUAREZ",BENITO JUAREZ,19.3296058799,19.3296058799
23,7500000,7500000,3,3,2,LOMAS DE SANTA FE,"SANTA FE.    ,VENTA,   EXCELENTE DEPTO,  AV  SANTA FE",SANTA FE,19.3892631023,19.3892631023
25,17800000,17800000,3,3,4+,PARQUES DEL PEDREGAL,DEPARTAMENTO NUEVO EN VENTA PEDREGAL 3 RECAMARAS,PARQUES DEL PEDREGAL,19.2998679547,19.2998679547
26,3250000,3250000,2,2,2,PROGRESO,CHIHUAHUA PROGRESO TIZAPAN,PROGRESO TIZAPAN,19.3398979151,19.3398979151
28,12195000,12195000,4,3,4+,LOS REYES,"CASA SOLA COYOACAN, CRUZ VERDE",LOS REYES,19.3962000156,19.3962000156
29,3090000,3090000,3,1,1,LOS REYES,VENTA DEPARTAMENTO EN EL ROSEDAL COYOACAN,LOS REYES,19.3962000156,19.3962000156
30,7600000,7600000,4,2,4+,DR ALFONSO ORTIZ TIRADO,CASA SOLA EN VENTA ALFONSO ORTIZ TIRADO,DR ALFONSO ORTIZ TIRADO,19.3854169212,19.3854169212
31,1800000,1800000,2,2,1,CONSTITUCION DE LA REPUBLICA,FERROCARRIL HIDALGO,CONSTITUCION DE LA REPUBLICA,19.4834013346,19.4834013346
